participant_id,mean_acc_norm_s2,std_acc_norm_s2,max_acc_norm_s2,min_acc_norm_s2,n_acc_steps
d54c2d38-a344-4acc-a58f-98900e4f3d25,1.6720469938367302,143.16030048177294,1060.646669591939,-1261.8983493220398,369
da1fc0bd-2274-48c6-935d-bd4303dfc0a7,0.7126831804174143,85.40539880054787,1752.4760433575545,-1186.9513404577503,922
dab3e35d-a740-4109-9515-556e82ceb612,-16.47834585845792,304.9038933561812,684.2771487078423,-2208.3063155261952,81
ded60c6e-ad75-4508-afdf-8caa0efe3410,1.5729907732793167,161.16929335300267,3444.4022035458324,-2517.9271541676194,1208
e0706a41-3231-4374-a546-2d56f686f34c,0.31981782756459076,87.86713188500431,858.5463673785712,-983.8395011503944,704
e2de2353-af57-4348-aa6b-a0e7cfb609d1,0.08097305733218603,70.91844361468699,1537.3268234281143,-1280.0248441443377,1266
e3a761b1-e739-49a7-bd95-cf33e2a3813c,0.22553886928387465,108.99694407152803,1319.6891896795157,-1260.2605969865929,404
e4410d18-7cd2-4198-9c4a-67901559288f,0.8486508464043758,146.09935170517394,1895.7413626617433,-1113.0749250046372,692
e4bdced0-2d54-4933-84d0-f3f80c285a06,1.805448176430425,136.4086155384167,2229.119882883752,-1408.7761392317593,501
e61b4eb5-dbda-48c1-b18a-899e7395c612,0.021868971437334087,50.41049700526768,1136.8830288501247,-1079.0005751667645,1375
e8d06654-451d-4d8f-b3f7-dd47d9317828,0.12734366777348882,85.87226291679721,1209.487585433623,-1161.8951158564705,802
ea3dc494-f4e6-48c2-813c-6de68d7a45e8,0.45269449540277157,106.8429517249186,1631.2820810144444,-1307.3903953618867,1218
eb870660-81e6-42e1-be24-2ca77d82d4ce,1.1745969139274035,140.40264843935464,2166.4947021507246,-1758.5919114393491,634
ec43a56a-d5a9-42a4-98fa-46840df7e093,-0.005677239567592277,78.49631677541834,953.2759476995332,-937.2481393089973,431
ed69ac01-e271-4d3c-bf27-f6d78d635fe4,-0.19381189380551675,233.23616405289405,3642.557995166879,-3553.71511723598,574
ed793ccf-cf9c-4b54-9951-a243e876cc49,0.2699010503806585,67.07810549601582,2702.4161762372246,-1714.8587363819179,2587
